iter	Passed	Remaining
171	5747	14300
172	5781	14270
173	5812	14231
174	5843	14190
175	5874	14153
176	5904	14110
177	5937	14077
178	5974	14052
179	6011	14026
180	6045	13994
181	6075	13954
182	6107	13916
183	6138	13877
184	6170	13841
185	6203	13808
186	6237	13775
187	6267	13734
188	6298	13697
189	6329	13658
190	6359	13617
191	6396	13592
192	6432	13564
193	6468	13537
194	6509	13519
195	6545	13491
196	6596	13495
197	6652	13506
198	6699	13499
199	6739	13478
200	6781	13461
201	6815	13429
202	6848	13392
203	6879	13353
204	6909	13313
205	6940	13274
206	6972	13237
207	7004	13200
208	7035	13162
209	7068	13126
210	7101	13091
211	7133	13055
212	7164	13017
213	7197	12982
214	7229	12945
215	7263	12912
216	7294	12874
217	7325	12835
218	7356	12798
219	7395	12773
220	7425	12734
221	7457	12697
222	7488	12659
223	7519	12622
224	7551	12585
225	7599	12576
226	7648	12567
227	7690	12547
228	7730	12523
229	7770	12499
230	7801	12462
231	7833	12425
232	7863	12385
233	7895	12349
234	7926	12310
235	7957	12272
236	7987	12234
237	8018	12196
238	8050	12159
239	8082	12123
240	8126	12105
241	8158	12069
242	8190	12033
243	8222	11996
244	8253	11959
245	8286	11924
246	8321	11892
247	8350	11852
248	8386	11821
249	8418	11786
250	8449	11748
251	8481	11712
252	8512	11674
253	8542	11637
254	8586	11616
255	8642	11613
256	8681	11586
257	8721	11560
258	8758	11531
259	8789	11494
260	8820	11456
261	8853	11421
262	8884	11384
263	8915	11346
264	8947	11311
265	8979	11274
266	9011	11238
267	9043	11202
268	9074	11165
269	9106	11129
270	9136	11092
271	9168	11056
272	9199	11019
273	9230	10982
274	9262	10946
275	9294	10910
276	9325	10874
277	9361	10843
278	9392	10806
279	9423	10770
280	9456	10734
281	9486	10697
282	9517	10660
283	9548	10624
284	9600	10610
285	9648	10593
286	9690	10567
287	9730	10541
288	9765	10508
289	9798	10474
290	9828	10436
291	9860	10400
292	9891	10364
293	9923	10328
294	9955	10292
295	9984	10254
296	10015	10218
297	10048	10183
298	10079	10147
299	10111	10111
300	10142	10075
301	10173	10038
302	10205	10003
303	10237	9967
304	10269	9932
305	10301	9897
306	10331	9860
307	10363	9824
308	10399	9793
309	10429	9756
310	10464	9723
311	10494	9687
312	10525	9650
313	10560	9618
314	10609	9599
315	10651	9573
316	10697	9550
317	10738	9522
318	10770	9487
319	10802	9451
320	10833	9416
321	10863	9379
322	10893	9342
323	10924	9306
324	10956	9270
325	10987	9234
326	11018	9198
327	11049	9163
328	11080	9127
329	11110	9090
330	11142	9055
331	11174	9020
332	11205	8984
333	11237	8949
334	11268	8914
335	11299	8878
336	11331	8842
337	11361	8806
338	11392	8771
339	11427	8738
340	11459	8703
341	11490	8668
342	11521	8632
343	11555	8599
344	11613	8583
345	11652	8554
346	11694	8526
347	11736	8498
348	11768	8463
349	11799	8427
350	11830	8392
351	11861	8356
352	11891	8320
353	11923	8285
354	11954	8250
355	11985	8214
356	12018	8180
357	12048	8144
358	12081	8110
359	12113	8075
360	12145	8040
361	12176	8005
362	12206	7969
363	12238	7934
364	12270	7899
365	12302	7865
366	12334	7830
367	12366	7796
368	12397	7760
369	12429	7726
370	12464	7693
371	12495	7658
372	12527	7624
373	12574	7598
374	12619	7571
375	12660	7542
376	12700	7512
377	12741	7483
378	12773	7448
379	12805	7413
380	12836	7378
381	12867	7342
382	12898	7308
383	12929	7272
384	12961	7238
385	12993	7203
386	13026	7169
387	13057	7134
388	13088	7099
389	13121	7065
390	13152	7030
391	13182	6994
392	13214	6960
393	13245	6925
394	13276	6890
395	13307	6855
396	13340	6821
397	13371	6786
398	13405	6753
399	13437	6718
400	13468	6684
401	13504	6651
402	13536	6617
403	13589	6592
404	13629	6562
405	13668	6531
406	13708	6500
407	13747	6469
408	13778	6434
409	13810	6400
410	13840	6364
411	13872	6330
412	13904	6295
413	13934	6260
414	13965	6225
415	13995	6190
416	14029	6156
417	14060	6122
418	14092	6087
419	14130	6055
420	14166	6023
421	14201	5990
422	14234	5956
423	14265	5921
424	14296	5886
425	14328	5852
426	14360	5818
427	14392	5783
428	14422	5748
429	14454	5714
430	14484	5679
431	14520	5646
432	14578	5622
433	14620	5592
434	14658	5560
435	14697	5528
436	14729	5493
437	14761	5459
438	14794	5425
439	14825	5391
440	14857	5356
441	14888	5322
442	14918	5287
443	14952	5253
444	14985	5219
445	15018	5185
446	15050	5151
447	15081	5116
448	15112	5082
449	15143	5047
450	15173	5012
451	15206	4979
452	15238	4944
453	15270	4910
454	15301	4876
455	15334	4842
456	15365	4808
457	15397	4773
458	15428	4739
459	15459	4704
460	15492	4671
461	15528	4638
462	15587	4612
463	15632	4581
464	15671	4549
465	15706	4516
466	15737	4481
467	15768	4447
468	15801	4413
469	15833	4379
470	15864	4345
471	15895	4310
472	15926	4276
473	15956	4241
474	15988	4207
475	16020	4173
476	16052	4139
477	16085	4105
478	16115	4071
479	16146	4036
480	16178	4002
481	16208	3967
482	16241	3934
483	16273	3900
484	16305	3866
485	16338	3832
486	16369	3798
487	16400	3764
488	16432	3730
489	16462	3695
490	16495	3661
491	16545	3632
492	16595	3601
493	16643	3571
494	16684	3539
495	16714	3504
496	16747	3470
497	16779	3436
498	16812	3402
499	16842	3368
500	16873	3334
501	16905	3300
502	16936	3266
503	16968	3232
504	16999	3198
505	17032	3164
506	17062	3129
507	17093	3095
508	17125	3061
509	17156	3027
510	17189	2993
511	17219	2959
512	17252	2925
513	17289	2892
514	17324	2859
515	17355	2825
516	17386	2791
517	17417	2757
518	17449	2723
519	17481	2689
520	17516	2656
521	17568	2625
522	17609	2592
523	17649	2559
524	17695	2527
525	17726	2493
526	17757	2459
527	17789	2425
528	17821	2391
529	17854	2358
530	17885	2324
531	17916	2290
532	17946	2255
533	17979	2222
534	18011	2188
535	18042	2154
536	18074	2120
537	18104	2086
538	18135	2052
539	18166	2018
540	18200	1984
541	18230	1950
542	18262	1917
543	18294	1883
544	18327	1849
545	18358	1815
546	18390	1781
547	18420	1747
548	18452	1714
549	18485	1680
550	18533	1648
551	18578	1615
552	18619	1582
553	18659	1549
554	18695	1515
555	18729	1482
556	18760	1448
557	18793	1414
558	18824	1380
559	18858	1347
560	18892	1313
561	18923	1279
562	18955	1245
563	18987	1211
564	19020	1178
565	19051	1144
566	19083	1110
567	19113	1076
568	19144	1043
569	19176	1009
570	19207	975
571	19239	941
572	19271	908
573	19304	874
574	19336	840
575	19372	807
576	19405	773
577	19437	739
578	19470	706
579	19515	672
580	19561	639
581	19604	606
582	19645	572
583	19684	539
584	19714	505
585	19746	471
586	19781	438
587	19816	404
588	19848	370
589	19880	336
590	19912	303
591	19944	269
592	19976	235
593	20009	202
594	20040	168
595	20071	134
596	20101	101
597	20132	67
598	20163	33
599	20194	0
