iter	RMSE
195	2676.872251
196	2669.734042
197	2662.231226
198	2657.540556
199	2651.328192
200	2645.378416
201	2638.346998
202	2630.371213
203	2624.764537
204	2617.387156
205	2605.882123
206	2597.889475
207	2592.157098
208	2584.607261
209	2578.883811
210	2571.901517
211	2564.995598
212	2557.987716
213	2550.732885
214	2545.543864
215	2541.283131
216	2531.647528
217	2523.532034
218	2516.717585
219	2508.597583
220	2503.759867
221	2502.235295
222	2494.613975
223	2487.795337
224	2482.384098
225	2477.33077
226	2472.216814
227	2466.141136
228	2463.191809
229	2456.672203
230	2449.87376
231	2444.144921
232	2438.598792
233	2432.33344
234	2425.013486
235	2420.504395
236	2413.093274
237	2408.796832
238	2403.772893
239	2398.494005
240	2394.395476
241	2389.577252
242	2381.498138
243	2376.370029
244	2368.97611
245	2364.235905
246	2357.297012
247	2350.476903
248	2345.914521
249	2340.659353
250	2335.413018
251	2331.723381
252	2328.586663
253	2325.188649
254	2320.62929
255	2315.075009
256	2308.632968
257	2303.626979
258	2296.194608
259	2290.348641
260	2285.870426
261	2281.188661
262	2278.365029
263	2269.327607
264	2264.8714
265	2259.25931
266	2255.718387
267	2252.031043
268	2248.584183
269	2242.982121
270	2240.272176
271	2233.664652
272	2229.547209
273	2225.464846
274	2219.315655
275	2213.619152
276	2210.537393
277	2206.75085
278	2201.726141
279	2198.073924
280	2195.074588
281	2191.146182
282	2185.962868
283	2182.868878
284	2178.872577
285	2174.292388
286	2171.979173
287	2169.433801
288	2164.677339
289	2159.153997
290	2154.437035
291	2150.77521
292	2146.745101
293	2141.81411
294	2137.323746
295	2133.879548
296	2129.919547
297	2123.641924
298	2120.338147
299	2116.699434
300	2113.50509
301	2110.174045
302	2104.604974
303	2100.420748
304	2096.088855
305	2092.812235
306	2089.600763
307	2085.726354
308	2079.268856
309	2076.138213
310	2072.968156
311	2068.664307
312	2065.021079
313	2060.767113
314	2056.829159
315	2053.573758
316	2049.339596
317	2045.934635
318	2043.280854
319	2039.793562
320	2036.078833
321	2032.96671
322	2029.529286
323	2026.365758
324	2022.828759
325	2019.713695
326	2017.528182
327	2015.133647
328	2012.245864
329	2009.747462
330	2004.694156
331	2001.165041
332	1998.886482
333	1995.209152
334	1991.066215
335	1986.222571
336	1980.739643
337	1978.98112
338	1976.451772
339	1973.907004
340	1971.083723
341	1967.76156
342	1965.427427
343	1962.355645
344	1959.855668
345	1956.272843
346	1953.666723
347	1952.067738
348	1949.604445
349	1945.149125
350	1942.501436
351	1939.219674
352	1935.299822
353	1932.666113
354	1929.317323
355	1926.133251
356	1922.50896
357	1920.327407
358	1916.817835
359	1912.780404
360	1908.839193
361	1907.090588
362	1902.988421
363	1899.783952
364	1898.198714
365	1894.857363
366	1892.191302
367	1889.27331
368	1887.445382
369	1883.922629
370	1881.050734
371	1877.105063
372	1874.711871
373	1871.803979
374	1869.683265
375	1867.924732
376	1865.786904
377	1861.599273
378	1858.037076
379	1855.478874
380	1852.71228
381	1850.741366
382	1848.813612
383	1846.389645
384	1843.288986
385	1841.48874
386	1838.669247
387	1834.819906
388	1831.210476
389	1828.416132
390	1826.553443
391	1823.038978
392	1820.683608
393	1817.980222
394	1816.218039
395	1813.108319
396	1810.648124
397	1808.581666
398	1806.6691
399	1803.414015
400	1802.461913
401	1800.546307
402	1798.192485
403	1795.86053
404	1793.334974
405	1790.333023
406	1788.220616
407	1785.140504
408	1783.178771
409	1780.661379
410	1778.855573
411	1776.994862
412	1774.298261
413	1771.46772
414	1769.681738
415	1766.150888
416	1763.444512
417	1761.961043
418	1757.950518
419	1755.160242
420	1753.350659
421	1751.402066
422	1748.355066
423	1745.842531
424	1743.785303
425	1742.13165
426	1740.5063
427	1737.390594
428	1735.597864
429	1733.115258
430	1730.348143
431	1728.362267
432	1725.757033
433	1722.995424
434	1721.246681
435	1719.493774
436	1716.488931
437	1714.257012
438	1711.516071
439	1709.482225
440	1707.694688
441	1705.960273
442	1703.946751
443	1701.679949
444	1698.122287
445	1696.662216
446	1694.233429
447	1692.047669
448	1689.445364
449	1687.032264
450	1685.542358
451	1682.378696
452	1679.917554
453	1678.259178
454	1676.123198
455	1674.140534
456	1672.250477
457	1670.158627
458	1668.625596
459	1666.808019
460	1664.008599
461	1661.38062
462	1659.081203
463	1657.45826
464	1656.363267
465	1654.650266
466	1652.80303
467	1650.915452
468	1649.267783
469	1647.2861
470	1645.768028
471	1642.449297
472	1640.52446
473	1638.414312
474	1637.004492
475	1635.285084
476	1633.355418
477	1631.382817
478	1629.106477
479	1627.494603
480	1624.835456
481	1622.43096
482	1620.570265
483	1618.673694
484	1616.862025
485	1614.744319
486	1613.104498
487	1611.378873
488	1609.261166
489	1608.002341
490	1606.506943
491	1604.429471
492	1602.216795
493	1600.403818
494	1598.373482
495	1596.617701
496	1595.281723
497	1593.256075
498	1591.629176
499	1589.601587
500	1588.177505
501	1585.405887
502	1583.777034
503	1582.461741
504	1581.262069
505	1578.851222
506	1577.165081
507	1575.081751
508	1573.768713
509	1572.392808
510	1570.463863
511	1568.803894
512	1567.270832
513	1565.836744
514	1564.899712
515	1562.652351
516	1559.556963
517	1557.888511
518	1556.314184
519	1555.03153
520	1553.525401
521	1551.65994
522	1549.738133
523	1548.172448
524	1546.348789
525	1544.064988
526	1541.258163
527	1539.609136
528	1537.006068
529	1535.51228
530	1534.157285
531	1532.313413
532	1530.886933
533	1529.117027
534	1527.691677
535	1526.312331
536	1524.921429
537	1522.381161
538	1521.205048
539	1519.229049
540	1518.304575
541	1516.154754
542	1514.19217
543	1512.52041
544	1511.472439
545	1507.991958
546	1506.571957
547	1505.292282
548	1503.854917
549	1501.836883
550	1500.491937
551	1498.844807
552	1496.885108
553	1494.746112
554	1493.174951
555	1491.888857
556	1490.233961
557	1488.75518
558	1487.140195
559	1485.695598
560	1484.358011
561	1483.624235
562	1481.456648
563	1480.408961
564	1479.232143
565	1477.859806
566	1476.768474
567	1475.719731
568	1474.354465
569	1472.86829
570	1470.202264
571	1467.738694
572	1465.102554
573	1463.91733
574	1462.164087
575	1461.224351
576	1459.659125
577	1458.137797
578	1456.241189
579	1454.783415
580	1452.341153
581	1449.598237
582	1448.139204
583	1445.997195
584	1444.867531
585	1443.432284
586	1442.315679
587	1440.718011
588	1438.702224
589	1436.430733
590	1434.700506
591	1432.441821
592	1431.156791
593	1429.535211
594	1428.553733
595	1426.698462
596	1425.512263
597	1423.337688
598	1421.742577
599	1420.528413
