feature,correlation_with_target
current_market_price,0.5906801306209859
purchase_price,0.5824880681280334
condition_age_interaction,0.5396159428998004
condition_squared,0.5278343493471207
market_price_log,0.5226157599790607
purchase_price_log,0.5195473032545281
high_value_product_flag,0.4985479941587531
excellent_condition_flag,0.48634820155515635
condition_score,0.48347129867786465
age_log,-0.46973748199509496
total_damage_score,-0.4295735656036328
warranty_ratio,0.41973704132472006
weighted_defect_score,-0.4157616722523739
purchase_age_days,-0.39591152491999526
age_years,-0.3959115249199952
long_warranty_flag,0.3877157448966299
usage_severity,-0.35791960997348427
warranty_left_days,0.3540426886456103
heavily_damaged_flag,-0.34830085350646517
warranty_left_log,0.34017011512400946
crack_severity,-0.3249013417521517
expired_warranty_flag,-0.3134975890626308
dent_severity,-0.2870740585633031
scratch_severity,-0.2783090266407549
missing_accessories_flag,-0.21275606029727143
defect_score,-0.19853222437317597
furniture_flag,0.13101574555230772
damage_condition_ratio,-0.11568147581199528
electronics_flag,-0.07062416090841911
age_warranty_interaction,0.05212038322863581
initial_warranty_days,0.04095571058510037
premium_brand_flag,-0.03490681479567559
price_retention_ratio,0.006056327657511522
is_supported_hackon_category,
