feature,mutual_information
current_market_price,1.831681984458009
market_price_log,1.8284298021836314
purchase_price,0.8099703633192021
purchase_price_log,0.7836070963194546
condition_score,0.23496628818477472
condition_squared,0.23292403803322337
high_value_product_flag,0.23242216073635968
damage_condition_ratio,0.19756288611575368
weighted_defect_score,0.1820835833856993
heavily_damaged_flag,0.1806244571373925
total_damage_score,0.17479815650327257
crack_severity,0.17339827345148962
condition_age_interaction,0.1622377699072559
defect_score,0.1493184502541265
excellent_condition_flag,0.12665570377555802
age_years,0.12068621224224962
purchase_age_days,0.11964046344424073
usage_severity,0.11460323975827791
age_log,0.11440828937379521
dent_severity,0.10366447407740953
warranty_ratio,0.10277208142838523
long_warranty_flag,0.08881306529828858
warranty_left_days,0.07880576342072221
age_warranty_interaction,0.07838081994616664
warranty_left_log,0.07385255779498179
expired_warranty_flag,0.07158136688932104
scratch_severity,0.0631811571863663
missing_accessories_flag,0.03995354665926265
electronics_flag,0.03199715073258913
furniture_flag,0.022413786852146567
initial_warranty_days,0.014286621558865065
price_retention_ratio,0.013328322133716597
premium_brand_flag,0.004984811701049141
is_supported_hackon_category,0.0
